id,estado,estado-slug,municipio,municipio-slug,poblacion,latitud,longitud,fecha,c-negativos,c-sospechosos,c-confirmados,c-defunciones,c-recuperados,d-negativos,d-sospechosos,d-confirmados,d-defunciones,d-recuperados,sospechosos-tasa-100k,confirmados-tasa-100k,activos
177,"Baja California",BC,Rosarito,ROS,96734,32.36,-117.06,2020-04-30,22,3,17,3,0,-1,-4,2,0,0,3.10,17.57,14
178,"Baja California",BC,Ensenada,ENS,486639,31.84,-116.61,2020-04-30,212,36,40,6,2,9,-3,7,0,0,7.40,8.22,32
179,"Baja California",BC,Tecate,TEC,102406,32.56,-116.62,2020-04-30,39,52,67,5,9,1,5,4,0,0,50.78,65.43,53
180,"Baja California",BC,"San Quintin",SQ,4777,30.57,-115.94,2020-04-30,17,0,5,1,0,2,0,0,0,0,0.00,104.67,4
181,"Baja California",BC,Mexicali,MXL,988417,32.61,-115.45,2020-05-01,614,241,602,58,87,12,50,13,3,9,24.38,60.91,457
182,"Baja California",BC,Tijuana,TJ,1641570,32.50,-116.95,2020-05-01,610,307,912,170,126,23,-3,53,17,9,18.70,55.56,616
183,"Baja California",BC,Rosarito,ROS,96734,32.36,-117.06,2020-05-01,24,3,18,3,1,2,0,1,0,0,3.10,18.61,14
184,"Baja California",BC,Ensenada,ENS,486639,31.84,-116.61,2020-05-01,214,36,42,7,2,2,0,2,1,0,7.40,8.63,33
185,"Baja California",BC,Tecate,TEC,102406,32.56,-116.62,2020-05-01,39,61,67,5,9,0,9,0,0,0,59.57,65.43,53
186,"Baja California",BC,"San Quintin",SQ,4777,30.57,-115.94,2020-05-01,17,0,5,1,0,0,0,0,0,0,0.00,104.67,4
187,"Baja California",BC,Mexicali,MXL,988417,32.61,-115.45,2020-05-02,614,271,603,61,87,0,30,1,3,0,27.42,61.01,455
188,"Baja California",BC,Tijuana,TJ,1641570,32.50,-116.95,2020-05-02,610,324,912,176,143,0,17,0,6,17,19.74,55.56,593
189,"Baja California",BC,Rosarito,ROS,96734,32.36,-117.06,2020-05-02,24,4,18,3,1,0,1,0,0,1,4.14,18.61,14
190,"Baja California",BC,Ensenada,ENS,486639,31.84,-116.61,2020-05-02,241,22,51,7,2,27,-14,9,0,0,4.52,10.48,42
