id,estado,estado-slug,municipio,municipio-slug,poblacion,latitud,longitud,fecha,c-negativos,c-sospechosos,c-confirmados,c-defunciones,c-recuperados,d-negativos,d-sospechosos,d-confirmados,d-defunciones,d-recuperados,sospechosos-tasa-100k,confirmados-tasa-100k,activos,tasa-mortalidad
155,"Baja California",BC,Tecate,TEC,102406,32.56,-116.62,2020-04-26,35,37,51,5,1,0,-2,2,0,0,36.13,49.80,45,9.80%
156,"Baja California",BC,"San Quintin",SQ,4777,30.57,-115.94,2020-04-26,15,0,4,1,0,0,0,0,0,0,0.00,83.73,3,25.00%
157,"Baja California",BC,Mexicali,MXL,988417,32.61,-115.45,2020-04-27,576,147,508,40,58,14,-32,37,0,5,14.87,51.40,410,7.87%
158,"Baja California",BC,Tijuana,TJ,1641570,32.50,-116.95,2020-04-27,536,263,737,123,86,0,6,0,3,9,16.02,44.90,528,16.69%
159,"Baja California",BC,Rosarito,ROS,96734,32.36,-117.06,2020-04-27,23,5,15,3,0,0,1,0,0,0,5.17,15.51,12,20.00%
160,"Baja California",BC,Ensenada,ENS,486639,31.84,-116.61,2020-04-27,202,39,30,5,1,0,16,0,0,0,8.01,6.16,24,16.67%
161,"Baja California",BC,Tecate,TEC,102406,32.56,-116.62,2020-04-27,35,37,51,5,8,0,0,0,0,7,36.13,49.80,38,9.80%
162,"Baja California",BC,"San Quintin",SQ,4777,30.57,-115.94,2020-04-27,15,0,4,1,0,0,0,0,0,0,0.00,83.73,3,25.00%
163,"Baja California",BC,Mexicali,MXL,988417,32.61,-115.45,2020-04-28,584,131,529,45,67,8,-16,21,5,9,13.25,53.52,417,8.51%
164,"Baja California",BC,Tijuana,TJ,1641570,32.50,-116.95,2020-04-28,540,229,765,130,91,4,-34,28,7,5,13.95,46.60,544,16.99%
165,"Baja California",BC,Rosarito,ROS,96734,32.36,-117.06,2020-04-28,23,7,15,3,0,0,2,0,0,0,7.24,15.51,12,20.00%
166,"Baja California",BC,Ensenada,ENS,486639,31.84,-116.61,2020-04-28,202,60,31,6,1,0,21,1,1,0,12.33,6.37,24,19.35%
167,"Baja California",BC,Tecate,TEC,102406,32.56,-116.62,2020-04-28,35,37,53,5,8,0,0,2,0,0,36.13,51.75,40,9.43%
168,"Baja California",BC,"San Quintin",SQ,4777,30.57,-115.94,2020-04-28,15,0,4,1,0,0,0,0,0,0,0.00,83.73,3,25.00%
169,"Baja California",BC,Mexicali,MXL,988417,32.61,-115.45,2020-04-29,594,188,564,48,69,10,57,35,3,2,19.02,57.06,447,8.51%
170,"Baja California",BC,Tijuana,TJ,1641570,32.50,-116.95,2020-04-29,582,314,831,142,96,42,85,66,12,21,19.13,50.62,593,17.09%
171,"Baja California",BC,Rosarito,ROS,96734,32.36,-117.06,2020-04-29,23,7,15,3,0,0,0,0,0,0,7.24,15.51,12,20.00%
172,"Baja California",BC,Ensenada,ENS,486639,31.84,-116.61,2020-04-29,203,39,33,6,2,1,-21,2,0,0,8.01,6.78,25,18.18%
173,"Baja California",BC,Tecate,TEC,102406,32.56,-116.62,2020-04-29,38,47,63,5,9,3,10,10,0,0,45.90,61.52,49,7.94%
174,"Baja California",BC,"San Quintin",SQ,4777,30.57,-115.94,2020-04-29,15,0,5,1,0,0,0,1,0,0,0.00,104.67,4,20.00%
175,"Baja California",BC,Mexicali,MXL,988417,32.61,-115.45,2020-04-30,602,191,589,55,78,8,3,25,7,9,19.32,59.59,456,9.34%
176,"Baja California",BC,Tijuana,TJ,1641570,32.50,-116.95,2020-04-30,587,310,859,153,117,5,-4,28,11,21,18.88,52.33,589,17.81%
